0357T,cryopreservation oocyte(s)
E8108,Motor vehicle traffic accident involving collision with train injuring other specified person
E8109,Motor vehicle traffic accident involving collision with train injuring unspecified person
E8110,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring driver of motor vehicle other than motorcycle
E8111,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring passenger in motor vehicle other than motorcycle
E8112,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring motorcyclist
E8113,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring passenger on motorcycle
E8114,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring occupant of streetcar
E8115,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring rider of animal; occupant of animal-drawn vehicle
E8116,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring pedal cyclist
E8117,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring pedestrian
E8118,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring other specified person
E8119,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring unspecified person
E8120,Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle
E8121,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger in motor vehicle other than motorcycle
E8122,Other motor vehicle traffic accident involving collision with motor vehicle injuring motorcyclist
E8123,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger on motorcycle
E8124,Other motor vehicle traffic accident involving collision with motor vehicle injuring occupant of streetcar
E8125,Other motor vehicle traffic accident involving collision with motor vehicle injuring rider of animal; occupant of animal-drawn vehicle
E8126,Other motor vehicle traffic accident involving collision with motor vehicle injuring pedal cyclist
E8127,Other motor vehicle traffic accident involving collision with motor vehicle injuring pedestrian
E8128,Other motor vehicle traffic accident involving collision with motor vehicle injuring other specified person
E8129,Other motor vehicle traffic accident involving collision with motor vehicle injuring unspecified person
E8130,Motor vehicle traffic accident involving collision with other vehicle injuring driver of motor vehicle other than motorcycle
E8131,Motor vehicle traffic accident involving collision with other vehicle injuring passenger in motor vehicle other than motorcycle
E8132,Motor vehicle traffic accident involving collision with other vehicle injuring motorcyclist
E8133,Motor vehicle traffic accident involving collision with other vehicle injuring passenger on motorcycle
E8134,Motor vehicle traffic accident involving collision with other vehicle injuring occupant of streetcar
E8135,Motor vehicle traffic accident involving collision with other vehicle injuring rider of animal; occupant of animal-drawn vehicle
E8136,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist
E8137,Motor vehicle traffic accident involving collision with other vehicle injuring pedestrian
E8138,Motor vehicle traffic accident involving collision with other vehicle injuring other specified person
E8139,Motor vehicle traffic accident involving collision with other vehicle injuring unspecified person
E8140,Motor vehicle traffic accident involving collision with pedestrian injuring driver of motor vehicle other than motorcycle
E8141,Motor vehicle traffic accident involving collision with pedestrian injuring passenger in motor vehicle other than motorcycle
E8142,Motor vehicle traffic accident involving collision with pedestrian injuring motorcyclist
E8143,Motor vehicle traffic accident involving collision with pedestrian injuring passenger on motorcycle
E8144,Motor vehicle traffic accident involving collision with pedestrian injuring occupant of streetcar
E8145,Motor vehicle traffic accident involving collision with pedestrian injuring rider of animal; occupant of animal drawn vehicle
E8146,Motor vehicle traffic accident involving collision with pedestrian injuring pedal cyclist
E8147,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian
E8148,Motor vehicle traffic accident involving collision with pedestrian injuring other specified person
E8149,Motor vehicle traffic accident involving collision with pedestrian injuring unspecified person
E8150,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle
E8151,Other motor vehicle traffic accident involving collision on the highway injuring passenger in motor vehicle other than motorcycle
E8152,Other motor vehicle traffic accident involving collision on the highway injuring motorcyclist
E8153,Other motor vehicle traffic accident involving collision on the highway injuring passenger on motorcycle
E8154,Other motor vehicle traffic accident involving collision on the highway injuring occupant of streetcar
E8155,Other motor vehicle traffic accident involving collision on the highway injuring rider of animal; occupant of animal-drawn vehicle
E8156,Other motor vehicle traffic accident involving collision on the highway injuring pedal cyclist
E8157,Other motor vehicle traffic accident involving collision on the highway injuring pedestrian
E8158,Other motor vehicle traffic accident involving collision on the highway injuring other specified person
E8159,Other motor vehicle traffic accident involving collision on the highway injuring unspecified person
E8160,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring driver of motor vehicle other than motorcycle"
E8161,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger in motor vehicle other than motorcycle"
E8162,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring motorcyclist"
E8163,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger on motorcycle"
E8164,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring occupant of streetcar"
E8165,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring rider of animal; occupant of animal-drawn vehicle"
E8166,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring pedal cyclist"
E8167,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring pedestrian"
E8168,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring other specified person"
E8169,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring unspecified person"
E8170,Noncollision motor vehicle traffic accident while boarding or alighting injuring driver of motor vehicle other than motorcycle
E8171,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger in motor vehicle other than motorcycle
E8172,Noncollision motor vehicle traffic accident while boarding or alighting injuring motorcyclist
E8173,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger on motorcycle
E8174,Noncollision motor vehicle traffic accident while boarding or alighting injuring occupant of streetcar
E8175,Noncollision motor vehicle traffic accident while boarding or alighting injuring rider of animal; occupant of animal-drawn vehicle
E8176,Noncollision motor vehicle traffic accident while boarding or alighting injuring pedal cyclist
E8177,Noncollision motor vehicle traffic accident while boarding or alighting injuring pedestrian
E8178,Noncollision motor vehicle traffic accident while boarding or alighting injuring other specified person
E8179,Noncollision motor vehicle traffic accident while boarding or alighting injuring unspecified person
E8180,Other noncollision motor vehicle traffic accident injuring driver of motor vehicle other than motorcycle
E8181,Other noncollision motor vehicle traffic accident injuring passenger in motor vehicle other than motorcycle
E8182,Other noncollision motor vehicle traffic accident injuring motorcyclist
E8183,Other noncollision motor vehicle traffic accident injuring passenger on motorcycle
E8184,Other noncollision motor vehicle traffic accident injuring occupant of streetcar
E8185,Other noncollision motor vehicle traffic accident injuring rider of animal; occupant of animal-drawn vehicle
E8186,Other noncollision motor vehicle traffic accident injuring pedal cyclist
E8187,Other noncollision motor vehicle traffic accident injuring pedestrian
E8188,Other noncollision motor vehicle traffic accident injuring other specified person
E8189,Other noncollision motor vehicle traffic accident injuring unspecified person
E8190,Motor vehicle traffic accident of unspecified nature injuring driver of motor vehicle other than motorcycle
E8191,Motor vehicle traffic accident of unspecified nature injuring passenger in motor vehicle other than motorcycle
E8192,Motor vehicle traffic accident of unspecified nature injuring motorcyclist
E8193,Motor vehicle traffic accident of unspecified nature injuring passenger on motorcycle
E8194,Motor vehicle traffic accident of unspecified nature injuring occupant of streetcar
E8195,Motor vehicle traffic accident of unspecified nature injuring rider of animal; occupant of animal-drawn vehicle
E8196,Motor vehicle traffic accident of unspecified nature injuring pedal cyclist
E8197,Motor vehicle traffic accident of unspecified nature injuring pedestrian
E8198,Motor vehicle traffic accident of unspecified nature injuring other specified person
E8199,Motor vehicle traffic accident of unspecified nature injuring unspecified person
E8200,Nontraffic accident involving motor-driven snow vehicle injuring driver of motor vehicle other than motorcycle
E8201,Nontraffic accident involving motor-driven snow vehicle injuring passenger in motor vehicle other than motorcycle
E8202,Nontraffic accident involving motor-driven snow vehicle injuring motorcyclist
E8203,Nontraffic accident involving motor-driven snow vehicle injuring passenger on motorcycle
E8204,Nontraffic accident involving motor-driven snow vehicle injuring occupant of streetcar
E8205,Nontraffic accident involving motor-driven snow vehicle injuring rider of animal; occupant of animal-drawn vehicle
E8206,Nontraffic accident involving motor-driven snow vehicle injuring pedal cyclist
E8207,Nontraffic accident involving motor-driven snow vehicle injuring pedestrian
E8208,Nontraffic accident involving motor-driven snow vehicle injuring other specified person
E8209,Nontraffic accident involving motor-driven snow vehicle injuring unspecified person
E8210,Nontraffic accident involving other off-road motor vehicle injuring driver of motor vehicle other than motorcycle
E8211,Nontraffic accident involving other off-road motor vehicle injuring passenger in motor vehicle other than motorcycle
E8212,Nontraffic accident involving other off-road motor vehicle injuring motorcyclist
E8213,Nontraffic accident involving other off-road motor vehicle injuring passenger on motorcycle
E8214,Nontraffic accident involving other off-road motor vehicle injuring occupant of streetcar
E8215,Nontraffic accident involving other off-road motor vehicle injuring rider of animal; occupant of animal-drawn vehicle
E8216,Nontraffic accident involving other off-road motor vehicle injuring pedal cyclist
E8217,Nontraffic accident involving other off-road motor vehicle injuring pedestrian
E8218,Nontraffic accident involving other off-road motor vehicle injuring other specified person
E8219,Nontraffic accident involving other off-road motor vehicle injuring unspecified person
E8220,Other motor vehicle nontraffic accident involving collision with moving object injuring driver of motor vehicle other than motorcycle
E8221,Other motor vehicle nontraffic accident involving collision with moving object injuring passenger in motor vehicle other than motorcycle
E8222,Other motor vehicle nontraffic accident involving collision with moving object injuring motorcyclist
E8223,Other motor vehicle nontraffic accident involving collision with moving object injuring passenger on motorcycle
E8224,Other motor vehicle nontraffic accident involving collision with moving object injuring occupant of streetcar
E8225,Other motor vehicle nontraffic accident involving collision with moving object injuring rider of animal; occupant of animal-drawn vehicle
E8226,Other motor vehicle nontraffic accident involving collision with moving object injuring pedal cyclist
E8227,Other motor vehicle nontraffic accident involving collision with moving object injuring pedestrian
E8228,Other motor vehicle nontraffic accident involving collision with moving object injuring other specified person
E8229,Other motor vehicle nontraffic accident involving collision with moving object injuring unspecified person
E8230,Other motor vehicle nontraffic accident involving collision with stationary object injuring driver of motor vehicle other than motorcycle
E8231,Other motor vehicle nontraffic accident involving collision with stationary object injuring passenger in motor vehicle other than motorcycle
E8232,Other motor vehicle nontraffic accident involving collision with stationary object injuring motorcyclist
E8233,Other motor vehicle nontraffic accident involving collision with stationary object injuring passenger on motorcycle
E8234,Other motor vehicle nontraffic accident involving collision with stationary object injuring occupant of streetcar
E8235,Other motor vehicle nontraffic accident involving collision with stationary object injuring rider of animal; occupant of animal-drawn vehicle
E8236,Other motor vehicle nontraffic accident involving collision with stationary object injuring pedal cyclist
E8237,Other motor vehicle nontraffic accident involving collision with stationary object injuring pedestrian
E8238,Other motor vehicle nontraffic accident involving collision with stationary object injuring other specified person
E8239,Other motor vehicle nontraffic accident involving collision with stationary object injuring unspecified person
E8240,Other motor vehicle nontraffic accident while boarding and alighting injuring driver of motor vehicle other than motorcycle
E8241,Other motor vehicle nontraffic accident while boarding and alighting injuring passenger in motor vehicle other than motorcycle
E8242,Other motor vehicle nontraffic accident while boarding and alighting injuring motorcyclist
E8243,Other motor vehicle nontraffic accident while boarding and alighting injuring passenger on motorcycle
E8244,Other motor vehicle nontraffic accident while boarding and alighting injuring occupant of streetcar
E8245,Other motor vehicle nontraffic accident while boarding and alighting injuring rider of animal; occupant of animal-drawn vehicle
E8246,Other motor vehicle nontraffic accident while boarding and alighting injuring pedal cyclist
E8247,Other motor vehicle nontraffic accident while boarding and alighting injuring pedestrian
E8248,Other motor vehicle nontraffic accident while boarding and alighting injuring other specified person
E8249,Other motor vehicle nontraffic accident while boarding and alighting injuring unspecified person
E8250,Other motor vehicle nontraffic accident of other and unspecified nature injuring driver of motor vehicle other than motorcycle
E8251,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger in motor vehicle other than motorcycle
E8252,Other motor vehicle nontraffic accident of other and unspecified nature injuring motorcyclist
E8253,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger on motorcycle
E8254,Other motor vehicle nontraffic accident of other and unspecified nature injuring occupant of streetcar
E8255,Other motor vehicle nontraffic accident of other and unspecified nature injuring rider of animal; occupant of animal-drawn vehicle
E8256,Other motor vehicle nontraffic accident of other and unspecified nature injuring pedal cyclist
E8257,Other motor vehicle nontraffic accident of other and unspecified nature injuring pedestrian
E8258,Other motor vehicle nontraffic accident of other and unspecified nature injuring other specified person
E8259,Other motor vehicle nontraffic accident of other and unspecified nature injuring unspecified person
E8260,Pedal cycle accident injuring pedestrian
E8261,Pedal cycle accident injuring pedal cyclist
E8262,Pedal cycle accident injuring rider of animal
E8263,Pedal cycle accident injuring occupant of animal-drawn vehicle
E8264,Pedal cycle accident injuring occupant of streetcar
E8268,Pedal cycle accident injuring other specified person
E8269,Pedal cycle accident injuring unspecified person
E8270,Animal-drawn vehicle accident injuring pedestrian
E8272,Animal-drawn vehicle accident injuring rider of animal
E8273,Animal-drawn vehicle accident injuring occupant of animal drawn vehicle
E8274,Animal-drawn vehicle accident injuring occupant of streetcar
E8278,Animal-drawn vehicle accident injuring other specified person
E8279,Animal-drawn vehicle accident injuring unspecified person
E8280,Accident involving animal being ridden injuring pedestrian
E8282,Accident involving animal being ridden injuring rider of animal
E8284,Accident involving animal being ridden injuring occupant of streetcar
E8288,Accident involving animal being ridden injuring other specified person
E8289,Accident involving animal being ridden injuring unspecified person
E8290,Other road vehicle accidents injuring pedestrian
E8294,Other road vehicle accidents injuring occupant of streetcar
E8298,Other road vehicle accidents injuring other specified person
E8299,Other road vehicle accidents injuring unspecified person
E8300,"Accident to watercraft causing submersion injuring occupant of small boat, unpowered"
E8301,"Accident to watercraft causing submersion injuring occupant of small boat, powered"
E8302,Accident to watercraft causing submersion injuring occupant of other watercraft -- crew
E8303,Accident to watercraft causing submersion injuring occupant of other watercraft -- other than crew
E8304,Accident to watercraft causing submersion injuring water skier
E8305,Accident to watercraft causing submersion injuring swimmer
E8306,"Accident to watercraft causing submersion injuring dockers, stevedores"
E8307,"Accident to watercraft causing submersion, occupant of military watercraft, any type"
E8308,Accident to watercraft causing submersion injuring other specified person
E8309,Accident to watercraft causing submersion injuring unspecified person
E8310,"Accident to watercraft causing other injury to occupant of small boat, unpowered"
E8311,"Accident to watercraft causing other injury to occupant of small boat, powered"
E8312,Accident to watercraft causing other injury to occupant of other watercraft -- crew
E8313,Accident to watercraft causing other injury to occupant of other watercraft -- other than crew
E8314,Accident to watercraft causing other injury to water skier
E8315,Accident to watercraft causing other injury to swimmer
E8316,"Accident to watercraft causing other injury to dockers, stevedores"
E8317,"Accident to watercraft causing other injury, occupant of military watercraft, any type"
E8318,Accident to watercraft causing other injury to other specified person
E8319,Accident to watercraft causing other injury to unspecified person
E8320,"Other accidental submersion or drowning in water transport accident injuring occupant of small boat, unpowered"
E8321,"Other accidental submersion or drowning in water transport accident injuring occupant of small boat, powered"
E8322,Other accidental submersion or drowning in water transport accident injuring occupant of other watercraft -- crew
E8323,Other accidental submersion or drowning in water transport accident injuring occupant of other watercraft -- other than crew
E8324,Other accidental submersion or drowning in water transport accident injuring water skier
E8325,Other accidental submersion or drowning in water transport accident injuring swimmer
E8326,"Other accidental submersion or drowning in water transport accident injuring dockers, stevedores"
E8327,"Other accidental submersion or drowning in water transport accident, occupant of military watercraft, any type"
E8328,Other accidental submersion or drowning in water transport accident injuring other specified person
E8329,Other accidental submersion or drowning in water transport accident injuring unspecified person
E8330,"Fall on stairs or ladders in water transport injuring occupant of small boat, unpowered"
E8331,"Fall on stairs or ladders in water transport injuring occupant of small boat, powered"
E8332,Fall on stairs or ladders in water transport injuring occupant of other watercraft -- crew
E8333,Fall on stairs or ladders in water transport injuring occupant of other watercraft -- other than crew
E8334,Fall on stairs or ladders in water transport injuring water skier
E8335,Fall on stairs or ladders in water transport injuring swimmer
E8336,"Fall on stairs or ladders in water transport injuring dockers, stevedores"
E8337,"Fall on stairs or ladders in water transport, occupant of military watercraft, any type"
E8338,Fall on stairs or ladders in water transport injuring other specified person
E8339,Fall on stairs or ladders in water transport injuring unspecified person
E8340,"Other fall from one level to another in water transport injuring occupant of small boat, unpowered"
E8341,"Other fall from one level to another in water transport injuring occupant of small boat, powered"
E8342,Other fall from one level to another in water transport injuring occupant of other watercraft -- crew
E8343,Other fall from one level to another in water transport injuring occupant of other watercraft -- other than crew
E8344,Other fall from one level to another in water transport injuring water skier
E8345,Other fall from one level to another in water transport injuring swimmer
E8346,"Other fall from one level to another in water transport injuring dockers, stevedores"
E8347,"Other fall from one level to another in water transport, occupant of military watercraft, any type"
E8348,Other fall from one level to another in water transport injuring other specified person
E8349,Other fall from one level to another in water transport injuring unspecified person
E8350,"Other and unspecified fall in water transport injuring occupant of small boat, unpowered"
E8351,"Other and unspecified fall in water transport injuring occupant of small boat, powered"
E8352,Other and unspecified fall in water transport injuring occupant of other watercraft -- crew
E8353,Other and unspecified fall in water transport injuring occupant of other watercraft -- other than crew
E8354,Other and unspecified fall in water transport injuring water skier
E8355,Other and unspecified fall in water transport injuring swimmer
E8356,"Other and unspecified fall in water transport injuring dockers, stevedores"
E8357,"Other and unspecified fall in water transport, occupant of military watercraft, any type"
E8358,Other and unspecified fall in water transport injuring other specified person
E8359,Other and unspecified fall in water transport injuring unspecified person
E8360,"Machinery accident in water transport injuring occupant of small boat, unpowered"
E8361,"Machinery accident in water transport injuring occupant of small boat, powered"
E8362,Machinery accident in water transport injuring occupant of other watercraft -- crew
E8363,Machinery accident in water transport injuring occupant of other watercraft -- other than crew
E8364,Machinery accident in water transport injuring water skier
E8365,Machinery accident in water transport injuring swimmer
E8366,"Machinery accident in water transport injuring dockers, stevedores"
E8367,"Machinery accident in water transport, occupant of military watercraft, any type"
E8368,Machinery accident in water transport injuring other specified person
E8369,Machinery accident in water transport injuring unspecified person
E8370,"Explosion, fire, or burning in watercraft injuring occupant of small boat, unpowered"
E8371,"Explosion, fire, or burning in watercraft injuring occupant of small boat, powered"
E8372,"Explosion, fire, or burning in watercraft injuring occupant of other watercraft -- crew"
E8373,"Explosion, fire, or burning in watercraft injuring occupant of other watercraft -- other than crew"
E8374,"Explosion, fire, or burning in watercraft injuring water skier"
E8375,"Explosion, fire, or burning in watercraft injuring swimmer"
E8376,"Explosion, fire, or burning in watercraft injuring dockers, stevedores"
E8377,"Explosion, fire, or burning in watercraft, occupant of military watercraft, any type"
E8378,"Explosion, fire, or burning in watercraft injuring other specified person"
E8379,"Explosion, fire, or burning in watercraft injuring unspecified person"
E8380,"Other and unspecified water transport accident injuring occupant of small boat, unpowered"
E8381,"Other and unspecified water transport accident injuring occupant of small boat, powered"
E8382,Other and unspecified water transport accident injuring occupant of other watercraft -- crew
E8383,Other and unspecified water transport accident injuring occupant of other watercraft -- other than crew
E8384,Other and unspecified water transport accident injuring water skier
E8385,Other and unspecified water transport accident injuring swimmer
E8386,"Other and unspecified water transport accident injuring dockers, stevedores"
E8387,"Other and unspecified water transport accident, occupant of military watercraft, any type"
E8388,Other and unspecified water transport accident injuring other specified person
E8389,Other and unspecified water transport accident injuring unspecified person
E8400,Accident to powered aircraft at takeoff or landing injuring occupant of spacecraft
E8401,"Accident to powered aircraft at takeoff or landing injuring occupant of military aircraft, any"
E8402,Accident to powered aircraft at takeoff or landing injuring crew of commercial aircraft (powered) in surface to surface transport
E8403,Accident to powered aircraft at takeoff or landing injuring other occupant of commercial aircraft (powered) in surface to surface transport
E8404,Accident to powered aircraft at takeoff or landing injuring occupant of commercial aircraft (powered) in surface to air transport
E8405,Accident to powered aircraft at takeoff or landing injuring occupant of other powered aircraft
E8406,"Accident to powered aircraft at takeoff or landing injuring occupant of unpowered aircraft, except parachutist"
E8407,Accident to powered aircraft at takeoff or landing injuring parachutist (military) (other)
E8408,"Accident to powered aircraft at takeoff or landing injuring ground crew, airline employee"
E8409,Accident to powered aircraft at takeoff or landing injuring other person
E8410,"Accident to powered aircraft, other and unspecified, injuring occupant of spacecraft"
E8411,"Accident to powered aircraft, other and unspecified, injuring occupant of military aircraft, any"
E8412,"Accident to powered aircraft, other and unspecified, injuring crew of commercial aircraft (powered) in surface to surface transport"
E8413,"Accident to powered aircraft, other and unspecified, injuring other occupant of commercial aircraft (powered) in surface to surface transport"
E8414,"Accident to powered aircraft, other and unspecified, injuring occupant of commercial aircraft (powered) in surface to air transport"
E8415,"Accident to powered aircraft, other and unspecified, injuring occupant of other powered aircraft"
E8416,"Accident to powered aircraft, other and unspecified, injuring occupant of unpowered aircraft, except parachutist"
E8417,"Accident to powered aircraft, other and unspecified, injuring parachutist (military) (other)"
E8418,"Accident to powered aircraft, other and unspecified, injuring ground crew, airline employee"
E8419,"Accident to powered aircraft, other and unspecified, injuring other person"
E8426,"Accident to unpowered aircraft injuring occupant of unpowered aircraft, except parachutist"
E8427,Accident to unpowered aircraft injuring parachutist (military) (other)
E8428,"Accident to unpowered aircraft injuring ground crew, airline employee"
E8429,Accident to unpowered aircraft injuring other person
E8430,"Fall in, on, or from aircraft injuring occupant of spacecraft"
E8431,"Fall in, on, or from aircraft injuring occupant of military aircraft, any"
E8432,"Fall in, on, or from aircraft injuring crew of commercial aircraft (powered) in surface to surface transport"
E8433,"Fall in, on, or from aircraft injuring other occupant of commercial aircraft (powered) in surface to surface transport"
E8434,"Fall in, on, or from aircraft injuring occupant of commercial aircraft (powered) in surface to air transport"
E8435,"Fall in, on, or from aircraft injuring occupant of other powered aircraft"
E8436,"Fall in, on, or from aircraft injuring occupant of unpowered aircraft, except parachutist"
E8437,"Fall in, on, or from aircraft injuring parachutist (military) (other)"
E8438,"Fall in, on, or from aircraft injuring ground crew, airline employee"
E8439,"Fall in, on, or from aircraft injuring other person"
E8440,Other specified air transport accidents injuring occupant of spacecraft
E8441,"Other specified air transport accidents injuring occupant of military aircraft, any"
E8442,Other specified air transport accidents injuring crew of commercial aircraft (powered) in surface to surface transport
E8443,Other specified air transport accidents injuring other occupant of commercial aircraft (powered) in surface to surface transport
E8444,Other specified air transport accidents injuring occupant of commercial aircraft (powered) in surface to air transport
E8445,Other specified air transport accidents injuring occupant of other powered aircraft
E8446,"Other specified air transport accidents injuring occupant of unpowered aircraft, except parachutist"
E8447,Other specified air transport accidents injuring parachutist (military) (other)
E8448,"Other specified air transport accidents injuring ground crew, airline employee"
E8449,Other specified air transport accidents injuring other person
E8450,Accident involving spacecraft injuring occupant of spacecraft
E8458,"Accident involving spacecraft injuring ground crew, airline employee"
E8459,Accident involving spacecraft injuring other person
E846,Accidents involving powered vehicles used solely within the buildings and premises of industrial or commercial establishment
E847,Accidents involving cable cars not running on rails
E848,"Accidents involving other vehicles, not elsewhere classifiable"
E8490,Home accidents
E8491,Farm accidents
E8492,Mine and quarry accidents
E8493,Accidents occurring in industrial places and premises
E8494,Accidents occurring in place for recreation and sport
E8495,Street and highway accidents
E8496,Accidents occurring in public building
E8497,Accidents occurring in residential institution
E8498,Accidents occurring in other specified places
E8499,Accidents occurring in unspecified place
E8500,Accidental poisoning by heroin
E8501,Accidental poisoning by methadone
E8502,Accidental poisoning by other opiates and related narcotics
E8503,Accidental poisoning by salicylates
E8504,"Accidental poisoning by aromatic analgesics, not elsewhere classified"
E8505,Accidental poisoning by pyrazole derivatives
E8506,Accidental poisoning by antirheumatics (antiphlogistics)
E8507,Accidental poisoning by other non-narcotic analgesics
E8508,Accidental poisoning by other specified analgesics and antipyretics
E8509,Accidental poisoning by unspecified analgesic or antipyretic
E851,Accidental poisoning by barbiturates
E8520,Accidental poisoning by chloral hydrate group
E8521,Accidental poisoning by paraldehyde
E8522,Accidental poisoning by bromine compounds
E8523,Accidental poisoning by methaqualone compounds
E8524,Accidental poisoning by glutethimide group
E8525,"Accidental poisoning by mixed sedatives, not elsewhere classified"
E8528,Accidental poisoning by other specified sedatives and hypnotics
E8529,Accidental poisoning by unspecified sedative or hypnotic
E8530,Accidental poisoning by phenothiazine-based tranquilizers
E8531,Accidental poisoning by butyrophenone-based tranquilizers
E8532,Accidental poisoning by benzodiazepine-based tranquilizers
E8538,Accidental poisoning by other specified tranquilizers
E8539,Accidental poisoning by unspecified tranquilizer
E8540,Accidental poisoning by antidepressants
E8541,Accidental poisoning by psychodysleptics [hallucinogens]
E8542,Accidental poisoning by psychostimulants
E8543,Accidental poisoning by central nervous system stimulants
E8548,Accidental poisoning by other psychotropic agents
E8550,Accidental poisoning by anticonvulsant and anti-parkinsonism drugs
E8551,Accidental poisoning by other central nervous system depressants
E8552,Accidental poisoning by local anesthetics
E8553,Accidental poisoning by parasympathomimetics [cholinergics]
E8554,Accidental poisoning by parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics
E8555,Accidental poisoning by sympathomimetics [adrenergics]
E8556,Accidental poisoning by sympatholytics [antiadrenergics]
E8558,Accidental poisoning by other specified drugs acting on central and autonomic nervous systems
E8559,Accidental poisoning by unspecified drug acting on central and autonomic nervous systems
E856,Accidental poisoning by antibiotics
E857,Accidental poisoning by other anti-infectives
E8580,Accidental poisoning by hormones and synthetic substitutes
E8581,Accidental poisoning by primarily systemic agents
E8582,Accidental poisoning by agents primarily affecting blood constituents
E8583,Accidental poisoning by agents primarily affecting cardiovascular system
E8584,Accidental poisoning by agents primarily affecting gastrointestinal system
E8585,"Accidental poisoning by water, mineral, and uric acid metabolism drugs"
E8586,Accidental poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
E8587,"Accidental poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs"
E8588,Accidental poisoning by other specified drugs
E8589,Accidental poisoning by unspecified drug
E8600,Accidental poisoning by alcoholic beverages
E8601,Accidental poisoning by other and unspecified ethyl alcohol and its products
E8602,Accidental poisoning by methyl alcohol
E8603,Accidental poisoning by isopropyl alcohol
E8604,Accidental poisoning by fusel oil
E8608,Accidental poisoning by other specified alcohols
E8609,Accidental poisoning by unspecified alcohol
E8610,Accidental poisoning by synthetic detergents and shampoos
E8611,Accidental poisoning by soap products
E8612,Accidental poisoning by polishes
E8613,Accidental poisoning by other cleansing and polishing agents
E8614,Accidental poisoning by disinfectants
E8615,Accidental poisoning by lead paints
E8616,Accidental poisoning by other paints and varnishes
E8619,"Accidental poisoning by unspecified cleansing and polishing agents, disinfectants, paints, and varnishes"
E8620,Accidental poisoning by petroleum solvents
E8621,Accidental poisoning by petroleum fuels and cleaners
E8622,Accidental poisoning by lubricating oils
E8623,Accidental poisoning by petroleum solids
E8624,"Accidental poisoning by other specified solvents, not elsewhere classified"
E8629,"Accidental poisoning by unspecified solvent, not elsewhere classified"
E8630,Accidental poisoning by insecticides of organochlorine compounds
E8631,Accidental poisoning by insecticides of organophosphorus compounds
E8632,Accidental poisoning by carbamates
E8633,Accidental poisoning by mixtures of insecticides
E8634,Accidental poisoning by other and unspecified insecticides
E8635,Accidental poisoning by herbicides
E8636,Accidental poisoning by fungicides
E8637,Accidental poisoning by rodenticides
E8638,Accidental poisoning by fumigants
E8639,Accidental poisoning by other and unspecified agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers
E8640,Accidental poisoning by corrosive aromatics not elsewhere classified
E8641,Accidental poisoning by acids not elsewhere classified
E8642,Accidental poisoning by caustic alkalis not elsewhere classified
E8643,Accidental poisoning by other specified corrosives and caustics not elsewhere classified
E8644,Accidental poisoning by unspecified corrosives and caustics not elsewhere classified
E8650,Accidental poisoning by meat
E8651,Accidental poisoning by shellfish
E8652,Accidental poisoning from other fish
E8653,Accidental poisoning from berries and seeds
E8654,Accidental poisoning from other specified plants
E8655,Accidental poisoning from mushrooms and other fungi
E8658,Accidental poisoning from other specified foods
E8659,Accidental poisoning from unspecified foodstuff or poisonous plant
E8660,Accidental poisoning by lead and its compounds and fumes
E8661,Accidental poisoning by mercury and its compounds and fumes
E8662,Accidental poisoning by antimony and its compounds and fumes
E8663,Accidental poisoning by arsenic and its compounds and fumes
E8664,Accidental poisoning by other metals and their compounds and fumes
E8665,Accidental poisoning by plant foods and fertilizers
E8666,Accidental poisoning by glues and adhesives
E8667,Accidental poisoning by cosmetics
